day;lesson;1 РФ;2 РФ;3 РФ;4 РФ;8 РФ;3 ФЭ;2 АРИСТ;8 АРИСТ;4 КБ;5 КБ;6 КБ;7 КБ;1 ПИ;5 ПИ;6 ПИ;7 ПИ
понедельник;1;2;1;3;4;5;9;2;3;1;1;1;1;1;1;1;1
понедельник;2;2;3;4;5;1;2;3;4;5;5;2;3;4;5;1;2
понедельник;3;;;;;;;;;;;;;;;;
понедельник;4;;;;2;1;;;;;;;;;;;
понедельник;5;;;;2;1;;;;;;;;;;;
понедельник;6;;;;;;;;;;;;;;;;
понедельник;7;;;;;;;;;;;;;;;;
понедельник;8;;;;;;;;;;;;;;;;
вторник;1;;;;;;;;;;;;;;;;
вторник;2;;;;;;;;;;;;;;;;
вторник;3;;;;;;;;;;;;;;;;
вторник;4;;;;;;;;;;;;;;;;
вторник;5;;;;;;1;;;;;;;;;;
вторник;6;;;;;;2;;;;;;;;;;
вторник;7;;;;;;2;;;;;;;;;;
вторник;8;;;;;;2;;;;;;;;;;
среда;1;;;;;2;2;2;;;;;;;;;
среда;2;;;;;;;;;;;;;;;;
среда;3;;;;;;;;;;;;;;;;
среда;4;;;;;;;;;;;;;;;;
среда;5;;;;;;;;;;;;;;;;
среда;6;;;;;;;;;;;;;;;;
среда;7;;;;;;;;;;;;;;;;
среда;8;;;;;;;;;;;;;;;;
четверг;1;;;;;;;;;;;;;;;;
четверг;2;;;;;;;;;;;;;;;;
четверг;3;;;;;;;;;;;;;;;;
четверг;4;;;;;;;;;;;;;;;;
четверг;5;;;;;;;;;;;;;;;;
четверг;6;;;;;;;;;;;;;;;;
четверг;7;;;;;;;;;;;;;;;;
четверг;8;;;;;;;;;;;;;;;;
пятница;1;;;;;;;;;;;;;;;;
пятница;2;;;;;;;;;;;;;;;;
пятница;3;;;;;;;;;;;;;;;;
пятница;4;;;;;;;;;;;;;;;;
пятница;5;;;;;;;;;;;;;;;;
пятница;6;;;;;;;;;;;;;;;;
пятница;7;;;;;;;;;;;;;;;;
пятница;8;;;;;;;;;;;;;;;;
суббота;1;;;;;;;;;;;;;;;;
суббота;2;;;;;;;;;;;;;;;;
суббота;3;;;;;;;;;;;;;;;;
суббота;4;;;;;;;;;;;;;;;;
суббота;5;;;;;;;;;;;;;;;;
суббота;6;;;;;;;;;;;;;;;;
суббота;7;;;;;;;;;;;;;;;;
суббота;8;;;;;;;;;;;;;;;;
